,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,An Giang,1908352,947570,960782,602870,294880,307990,1305482,652690,652792
1,0-4 ,126926,65805,61121,36026,18587,17439,90900,47218,43682
2,5-9,165312,85531,79781,46356,23923,22433,118956,61608,57348
3,10-14,167091,85976,81115,47818,24547,23271,119273,61429,57844
4,15-19 ,119113,61655,57458,38873,19874,18999,80240,41781,38459
5,20-24 ,97565,50922,46643,33138,16891,16247,64427,34031,30396
6,25-29 ,129729,66912,62817,42156,21438,20718,87573,45474,42099
7,30-34 ,155264,79737,75527,50109,25272,24837,105155,54465,50690
8,35-39 ,162925,83617,79308,54586,27501,27085,108339,56116,52223
9,40-44 ,151723,76921,74802,48886,24561,24325,102837,52360,50477
10,45-49 ,150429,75234,75195,48028,23732,24296,102401,51502,50899
11,50-54 ,139407,68730,70677,45198,21839,23359,94209,46891,47318
12,55-59 ,104084,47321,56763,35895,16129,19766,68189,31192,36997
13,60-64 ,76066,30068,45998,27621,11252,16369,48445,18816,29629
14,65-69 ,62959,25809,37150,19919,8027,11892,43040,17782,25258
15,70-74 ,39941,18094,21847,11311,4866,6445,28630,13228,15402
16,75-79 ,25226,10394,14832,7326,2815,4511,17900,7579,10321
17,80-84 ,18542,7580,10962,5151,1859,3292,13391,5721,7670
18,85+,16050,7264,8786,4473,1767,2706,11577,5497,6080
