,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Báº¯c Giang,1803950,905152,898798,205623,101371,104252,1598327,803781,794546
1,0-4 ,175404,94942,80462,18708,10074,8634,156696,84868,71828
2,5-9,166299,89042,77257,19425,10264,9161,146874,78778,68096
3,10-14,124614,65473,59141,15795,8299,7496,108819,57174,51645
4,15-19 ,110012,56953,53059,11680,6069,5611,98332,50884,47448
5,20-24 ,115331,58925,56406,9867,4987,4880,105464,53938,51526
6,25-29 ,163824,84121,79703,16113,7546,8567,147711,76575,71136
7,30-34 ,156155,80483,75672,16766,7981,8785,139389,72502,66887
8,35-39 ,139494,70716,68778,16973,8237,8736,122521,62479,60042
9,40-44 ,124006,62070,61936,14820,7206,7614,109186,54864,54322
10,45-49 ,110461,54726,55735,12933,6442,6491,97528,48284,49244
11,50-54 ,103031,50362,52669,11617,5651,5966,91414,44711,46703
12,55-59 ,103395,48663,54732,12962,6253,6709,90433,42410,48023
13,60-64 ,76107,34964,41143,10372,4977,5395,65735,29987,35748
14,65-69 ,47228,20584,26644,6401,2860,3541,40827,17724,23103
15,70-74 ,29725,12444,17281,4205,1787,2418,25520,10657,14863
16,75-79 ,23289,9116,14173,2982,1325,1657,20307,7791,12516
17,80-84 ,17466,6215,11251,2050,778,1272,15416,5437,9979
18,85+,18109,5353,12756,1954,635,1319,16155,4718,11437
