,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Báº¯c Ninh,1368840,676060,692780,376700,188161,188539,992140,487899,504241
1,0-4 ,122281,66001,56280,34366,18490,15876,87915,47511,40404
2,5-9,119983,65674,54309,35549,19412,16137,84434,46262,38172
3,10-14,92310,49353,42957,27788,14881,12907,64522,34472,30050
4,15-19 ,89783,43233,46550,24208,12038,12170,65575,31195,34380
5,20-24 ,131772,60972,70800,29203,14302,14901,102569,46670,55899
6,25-29 ,151432,74549,76883,38206,18661,19545,113226,55888,57338
7,30-34 ,120989,61351,59638,34231,17046,17185,86758,44305,42453
8,35-39 ,98504,49724,48780,30618,15289,15329,67886,34435,33451
9,40-44 ,83199,41491,41708,24461,12315,12146,58738,29176,29562
10,45-49 ,71981,35882,36099,20029,10072,9957,51952,25810,26142
11,50-54 ,65622,31822,33800,17358,8484,8874,48264,23338,24926
12,55-59 ,68320,32371,35949,18800,9065,9735,49520,23306,26214
13,60-64 ,53636,24685,28951,15333,7134,8199,38303,17551,20752
14,65-69 ,32658,14275,18383,9487,4209,5278,23171,10066,13105
15,70-74 ,22614,9677,12937,6508,2831,3677,16106,6846,9260
16,75-79 ,17290,6739,10551,4373,1826,2547,12917,4913,8004
17,80-84 ,13410,4702,8708,3183,1205,1978,10227,3497,6730
18,85+,13056,3559,9497,2999,901,2098,10057,2658,7399
