,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Bình Định,1486918,732087,754831,474879,231425,243454,1012039,500662,511377
1,0-4 ,110816,57693,53123,34796,18251,16545,76020,39442,36578
2,5-9,120010,62275,57735,38330,19996,18334,81680,42279,39401
3,10-14,119692,61879,57813,36758,18812,17946,82934,43067,39867
4,15-19 ,99989,52114,47875,31531,15628,15903,68458,36486,31972
5,20-24 ,86885,46331,40554,29291,14167,15124,57594,32164,25430
6,25-29 ,115007,59218,55789,37645,18370,19275,77362,40848,36514
7,30-34 ,101940,51724,50216,35397,17443,17954,66543,34281,32262
8,35-39 ,108028,54005,54023,36717,18198,18519,71311,35807,35504
9,40-44 ,113230,56859,56371,35818,17731,18087,77412,39128,38284
10,45-49 ,121112,60330,60782,39179,19424,19755,81933,40906,41027
11,50-54 ,105649,51888,53761,35275,17442,17833,70374,34446,35928
12,55-59 ,73751,33830,39921,24056,11366,12690,49695,22464,27231
13,60-64 ,60470,26445,34025,18560,8396,10164,41910,18049,23861
14,65-69 ,47222,20329,26893,12910,5499,7411,34312,14830,19482
15,70-74 ,31757,12563,19194,9419,3742,5677,22338,8821,13517
16,75-79 ,25447,8753,16694,7317,2618,4699,18130,6135,11995
17,80-84 ,22768,7938,14830,6070,2212,3858,16698,5726,10972
18,85+,23145,7913,15232,5810,2130,3680,17335,5783,11552
