,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Bình Dương,2426561,1220006,1206555,1938114,971933,966181,488447,248073,240374
1,0-4 ,170602,89387,81215,135216,71035,64181,35386,18352,17034
2,5-9,168223,88386,79837,129318,68130,61188,38905,20256,18649
3,10-14,138883,72176,66707,103591,54049,49542,35292,18127,17165
4,15-19 ,177631,89775,87856,144128,72239,71889,33503,17536,15967
5,20-24 ,249542,120360,129182,210218,99326,110892,39324,21034,18290
6,25-29 ,325657,162145,163512,272980,134437,138543,52677,27708,24969
7,30-34 ,315336,161725,153611,260647,133494,127153,54689,28231,26458
8,35-39 ,255164,131450,123714,208074,107200,100874,47090,24250,22840
9,40-44 ,179174,93149,86025,141862,73739,68123,37312,19410,17902
10,45-49 ,135966,70438,65528,105414,54894,50520,30552,15544,15008
11,50-54 ,101308,50666,50642,75873,38006,37867,25435,12660,12775
12,55-59 ,77323,36511,40812,56796,26933,29863,20527,9578,10949
13,60-64 ,55437,24413,31024,40378,17795,22583,15059,6618,8441
14,65-69 ,32217,13567,18650,23169,9685,13484,9048,3882,5166
15,70-74 ,16290,6380,9910,11472,4505,6967,4818,1875,2943
16,75-79 ,12129,4264,7865,8340,2968,5372,3789,1296,2493
17,80-84 ,8153,2692,5461,5437,1801,3636,2716,891,1825
18,85+,7526,2522,5004,5201,1697,3504,2325,825,1500
