,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Bình Phước,994679,501473,493206,235666,116740,118926,759013,384733,374280
1,0-4 ,86603,44828,41775,20131,10357,9774,66472,34471,32001
2,5-9,93328,48448,44880,21508,11246,10262,71820,37202,34618
3,10-14,89036,45784,43252,19718,10181,9537,69318,35603,33715
4,15-19 ,75596,39094,36502,17139,8657,8482,58457,30437,28020
5,20-24 ,67371,35817,31554,14533,7157,7376,52838,28660,24178
6,25-29 ,86928,44796,42132,20916,10168,10748,66012,34628,31384
7,30-34 ,90008,45376,44632,22792,11103,11689,67216,34273,32943
8,35-39 ,82846,41254,41592,21163,10352,10811,61683,30902,30781
9,40-44 ,71461,36294,35167,17552,8948,8604,53909,27346,26563
10,45-49 ,63904,32807,31097,15097,7708,7389,48807,25099,23708
11,50-54 ,54312,27043,27269,13040,6342,6698,41272,20701,20571
12,55-59 ,46615,22457,24158,11341,5499,5842,35274,16958,18316
13,60-64 ,33924,15724,18200,8303,3897,4406,25621,11827,13794
14,65-69 ,21477,9856,11621,5109,2376,2733,16368,7480,8888
15,70-74 ,12264,5058,7206,2845,1162,1683,9419,3896,5523
16,75-79 ,8349,3257,5092,1912,778,1134,6437,2479,3958
17,80-84 ,5444,1893,3551,1299,394,905,4145,1499,2646
18,85+,5213,1687,3526,1268,415,853,3945,1272,2673
