,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Bình Thuận,1230808,618384,612424,468720,233414,235306,762088,384970,377118
1,0-4 ,98528,51074,47454,33124,17357,15767,65404,33717,31687
2,5-9,106831,55364,51467,37122,19339,17783,69709,36025,33684
3,10-14,102633,52647,49986,36905,19075,17830,65728,33572,32156
4,15-19 ,88923,46165,42758,32629,16894,15735,56294,29271,27023
5,20-24 ,88591,47286,41305,32094,16923,15171,56497,30363,26134
6,25-29 ,111968,59126,52842,42609,22398,20211,69359,36728,32631
7,30-34 ,99898,51725,48173,38068,19442,18626,61830,32283,29547
8,35-39 ,95927,48781,47146,37551,18957,18594,58376,29824,28552
9,40-44 ,88943,45492,43451,35142,17854,17288,53801,27638,26163
10,45-49 ,88555,44871,43684,35730,17974,17756,52825,26897,25928
11,50-54 ,76914,37819,39095,31933,15422,16511,44981,22397,22584
12,55-59 ,56554,26290,30264,23943,11065,12878,32611,15225,17386
13,60-64 ,43264,18962,24302,18215,7803,10412,25049,11159,13890
14,65-69 ,30535,12871,17664,12550,5104,7446,17985,7767,10218
15,70-74 ,18955,7820,11135,7712,3121,4591,11243,4699,6544
16,75-79 ,13632,4974,8658,5332,1916,3416,8300,3058,5242
17,80-84 ,10090,3545,6545,3933,1322,2611,6157,2223,3934
18,85+,10067,3572,6495,4128,1448,2680,5939,2124,3815
