,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,CÃ  Mau,1194476,604901,589575,271063,134955,136108,923413,469946,453467
1,0-4 ,80599,41708,38891,17849,9236,8613,62750,32472,30278
2,5-9,100722,52317,48405,21673,11298,10375,79049,41019,38030
3,10-14,98792,51107,47685,21584,11166,10418,77208,39941,37267
4,15-19 ,88571,46263,42308,20097,10349,9748,68474,35914,32560
5,20-24 ,68255,35912,32343,15557,7907,7650,52698,28005,24693
6,25-29 ,95833,49964,45869,22232,11116,11116,73601,38848,34753
7,30-34 ,110136,57594,52542,26228,13187,13041,83908,44407,39501
8,35-39 ,108003,55241,52762,26351,13419,12932,81652,41822,39830
9,40-44 ,91113,45991,45122,21146,10572,10574,69967,35419,34548
10,45-49 ,76743,39291,37452,18373,9197,9176,58370,30094,28276
11,50-54 ,69193,34465,34728,16517,8081,8436,52676,26384,26292
12,55-59 ,63520,31058,32462,14564,6860,7704,48956,24198,24758
13,60-64 ,50221,23120,27101,11008,4961,6047,39213,18159,21054
14,65-69 ,39730,19062,20668,7796,3584,4212,31934,15478,16456
15,70-74 ,20955,9302,11653,4034,1779,2255,16921,7523,9398
16,75-79 ,13152,5296,7856,2393,908,1485,10759,4388,6371
17,80-84 ,9945,3792,6153,1869,648,1221,8076,3144,4932
18,85+,8993,3418,5575,1792,687,1105,7201,2731,4470
