,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Cao Báº±ng,530341,265620,264721,123407,59613,63794,406934,206007,200927
1,0-4 ,49711,25562,24149,10690,5556,5134,39021,20006,19015
2,5-9,48253,24620,23633,10576,5429,5147,37677,19191,18486
3,10-14,41248,20706,20542,9975,4640,5335,31273,16066,15207
4,15-19 ,34670,18483,16187,5777,2827,2950,28893,15656,13237
5,20-24 ,35452,20036,15416,5369,2724,2645,30083,17312,12771
6,25-29 ,48126,26204,21922,10559,5146,5413,37567,21058,16509
7,30-34 ,47589,25695,21894,12158,6173,5985,35431,19522,15909
8,35-39 ,38716,20122,18594,10339,5203,5136,28377,14919,13458
9,40-44 ,35770,17846,17924,8742,4244,4498,27028,13602,13426
10,45-49 ,31845,15591,16254,7979,3889,4090,23866,11702,12164
11,50-54 ,32013,15082,16931,8041,3754,4287,23972,11328,12644
12,55-59 ,29561,13593,15968,8386,3956,4430,21175,9637,11538
13,60-64 ,18965,8604,10361,5732,2751,2981,13233,5853,7380
14,65-69 ,11554,4661,6893,3031,1260,1771,8523,3401,5122
15,70-74 ,9149,3241,5908,2243,793,1450,6906,2448,4458
16,75-79 ,7588,2594,4994,1802,645,1157,5786,1949,3837
17,80-84 ,5478,1698,3780,1112,359,753,4366,1339,3027
18,85+,4653,1282,3371,896,264,632,3757,1018,2739
