,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Đà Nẵng,1134310,558982,575328,988561,486856,501705,145749,72126,73623
1,0-4 ,94813,49355,45458,81321,42293,39028,13492,7062,6430
2,5-9,93603,48940,44663,80146,42004,38142,13457,6936,6521
3,10-14,79363,41409,37954,67989,35595,32394,11374,5814,5560
4,15-19 ,85447,42881,42566,75526,37681,37845,9921,5200,4721
5,20-24 ,110306,53747,56559,98865,47815,51050,11441,5932,5509
6,25-29 ,116170,55932,60238,102306,49083,53223,13864,6849,7015
7,30-34 ,99826,48935,50891,87824,42904,44920,12002,6031,5971
8,35-39 ,85465,43043,42422,74911,37636,37275,10554,5407,5147
9,40-44 ,70025,36139,33886,60987,31457,29530,9038,4682,4356
10,45-49 ,70364,35676,34688,60870,30859,30011,9494,4817,4677
11,50-54 ,65956,32512,33444,56667,27886,28781,9289,4626,4663
12,55-59 ,50225,23972,26253,44497,21290,23207,5728,2682,3046
13,60-64 ,42590,19818,22772,37415,17654,19761,5175,2164,3011
14,65-69 ,24448,10249,14199,21085,8889,12196,3363,1360,2003
15,70-74 ,13449,5209,8240,11729,4545,7184,1720,664,1056
16,75-79 ,11279,3708,7571,9293,3106,6187,1986,602,1384
17,80-84 ,9898,3389,6509,8099,2783,5316,1799,606,1193
18,85+,11083,4068,7015,9031,3376,5655,2052,692,1360
