,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Đắk Lắk,1869322,942578,926744,462118,229978,232140,1407204,712600,694604
1,0-4 ,174007,89755,84252,38534,19942,18592,135473,69813,65660
2,5-9,179779,92301,87478,41009,21336,19673,138770,70965,67805
3,10-14,164185,83806,80379,37417,19018,18399,126768,64788,61980
4,15-19 ,146149,75639,70510,33948,16866,17082,112201,58773,53428
5,20-24 ,141983,75158,66825,31309,15208,16101,110674,59950,50724
6,25-29 ,165638,86530,79108,40719,20249,20470,124919,66281,58638
7,30-34 ,153838,79019,74819,41600,20970,20630,112238,58049,54189
8,35-39 ,134654,67177,67477,36343,18165,18178,98311,49012,49299
9,40-44 ,125073,62518,62555,31639,15728,15911,93434,46790,46644
10,45-49 ,122032,62374,59658,31285,16039,15246,90747,46335,44412
11,50-54 ,106936,53386,53550,28600,14194,14406,78336,39192,39144
12,55-59 ,87814,42509,45305,24946,12149,12797,62868,30360,32508
13,60-64 ,63685,30242,33443,18238,8875,9363,45447,21367,24080
14,65-69 ,37711,17038,20673,10030,4681,5349,27681,12357,15324
15,70-74 ,23234,9944,13290,5896,2668,3228,17338,7276,10062
16,75-79 ,16427,6337,10090,3938,1565,2373,12489,4772,7717
17,80-84 ,12295,4333,7962,3167,1136,2031,9128,3197,5931
18,85+,13882,4512,9370,3500,1189,2311,10382,3323,7059
