,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Điện Biên,598856,303436,295420,86136,42922,43214,512720,260514,252206
1,0-4 ,71944,37456,34488,7838,4137,3701,64106,33319,30787
2,5-9,71303,36554,34749,8244,4323,3921,63059,32231,30828
3,10-14,62408,32209,30199,6385,3387,2998,56023,28822,27201
4,15-19 ,51960,27736,24224,7020,3564,3456,44940,24172,20768
5,20-24 ,48175,25724,22451,3880,2026,1854,44295,23698,20597
6,25-29 ,53850,27752,26098,6567,3111,3456,47283,24641,22642
7,30-34 ,51870,26161,25709,8428,4074,4354,43442,22087,21355
8,35-39 ,40200,19953,20247,7447,3832,3615,32753,16121,16632
9,40-44 ,33751,16772,16979,6115,3043,3072,27636,13729,13907
10,45-49 ,27957,13848,14109,5432,2691,2741,22525,11157,11368
11,50-54 ,24033,11681,12352,4754,2303,2451,19279,9378,9901
12,55-59 ,21792,10475,11317,5036,2461,2575,16756,8014,8742
13,60-64 ,13307,6311,6996,3133,1513,1620,10174,4798,5376
14,65-69 ,8113,3692,4421,2104,936,1168,6009,2756,3253
15,70-74 ,5369,2298,3071,1364,553,811,4005,1745,2260
16,75-79 ,4098,1758,2340,972,414,558,3126,1344,1782
17,80-84 ,2977,1096,1881,654,270,384,2323,826,1497
18,85+,5749,1960,3789,763,284,479,4986,1676,3310
