,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Đồng Nai,3097107,1553342,1543765,1019371,504856,514515,2077736,1048486,1029250
1,0-4 ,245889,129095,116794,80099,42417,37682,165790,86678,79112
2,5-9,257732,135274,122458,82979,43984,38995,174753,91290,83463
3,10-14,227547,118887,108660,73067,38446,34621,154480,80441,74039
4,15-19 ,215414,111063,104351,69659,35417,34242,145755,75646,70109
5,20-24 ,239921,121543,118378,79307,38304,41003,160614,83239,77375
6,25-29 ,310370,155884,154486,103018,50200,52818,207352,105684,101668
7,30-34 ,310609,156417,154192,103392,51141,52251,207217,105276,101941
8,35-39 ,268728,135045,133683,91881,44642,47239,176847,90403,86444
9,40-44 ,220812,111539,109273,75189,37311,37878,145623,74228,71395
10,45-49 ,201089,102239,98850,67659,34367,33292,133430,67872,65558
11,50-54 ,173975,86404,87571,56782,28096,28686,117193,58308,58885
12,55-59 ,146862,70626,76236,48368,23282,25086,98494,47344,51150
13,60-64 ,109221,50736,58485,36385,16774,19611,72836,33962,38874
14,65-69 ,64507,28743,35764,20333,8890,11443,44174,19853,24321
15,70-74 ,37071,15400,21671,11289,4585,6704,25782,10815,14967
16,75-79 ,26945,10229,16716,8043,3016,5027,18902,7213,11689
17,80-84 ,20665,7157,13508,6192,2098,4094,14473,5059,9414
18,85+,19750,7061,12689,5729,1886,3843,14021,5175,8846
