,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Đồng Tháp,1599504,799230,800274,304974,148580,156394,1294530,650650,643880
1,0-4 ,97429,50429,47000,17650,9112,8538,79779,41317,38462
2,5-9,126133,65332,60801,22383,11606,10777,103750,53726,50024
3,10-14,128246,65990,62256,22929,11781,11148,105317,54209,51108
4,15-19 ,105414,55072,50342,20573,10375,10198,84841,44697,40144
5,20-24 ,89639,47311,42328,19073,9282,9791,70566,38029,32537
6,25-29 ,115275,59993,55282,22202,11081,11121,93073,48912,44161
7,30-34 ,132065,68323,63742,25575,12823,12752,106490,55500,50990
8,35-39 ,136880,70143,66737,26238,13053,13185,110642,57090,53552
9,40-44 ,126148,64455,61693,23724,11925,11799,102424,52530,49894
10,45-49 ,124946,62887,62059,23681,11585,12096,101265,51302,49963
11,50-54 ,117193,58152,59041,23153,11127,12026,94040,47025,47015
12,55-59 ,92441,43244,49197,19060,8846,10214,73381,34398,38983
13,60-64 ,70770,29597,41173,14810,6328,8482,55960,23269,32691
14,65-69 ,56352,24797,31555,10191,4385,5806,46161,20412,25749
15,70-74 ,29978,13243,16735,5003,2100,2903,24975,11143,13832
16,75-79 ,20243,7884,12359,3587,1334,2253,16656,6550,10106
17,80-84 ,15416,6029,9387,2641,898,1743,12775,5131,7644
18,85+,14936,6349,8587,2501,939,1562,12435,5410,7025
