,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Gia Lai,1513847,758589,755258,438276,217437,220839,1075571,541152,534419
1,0-4 ,156868,80699,76169,39777,20739,19038,117091,59960,57131
2,5-9,164276,84447,79829,42206,21839,20367,122070,62608,59462
3,10-14,153780,78127,75653,40901,20607,20294,112879,57520,55359
4,15-19 ,129597,66448,63149,31255,15624,15631,98342,50824,47518
5,20-24 ,115850,60000,55850,25479,12918,12561,90371,47082,43289
6,25-29 ,128930,65335,63595,37028,17939,19089,91902,47396,44506
7,30-34 ,124768,62362,62406,38586,18680,19906,86182,43682,42500
8,35-39 ,114646,56871,57775,35947,17636,18311,78699,39235,39464
9,40-44 ,98798,49666,49132,31452,15857,15595,67346,33809,33537
10,45-49 ,83502,42748,40754,29885,15183,14702,53617,27565,26052
11,50-54 ,70312,35011,35301,26218,13184,13034,44094,21827,22267
12,55-59 ,58014,27972,30042,21183,10327,10856,36831,17645,19186
13,60-64 ,41447,19257,22190,15012,7287,7725,26435,11970,14465
14,65-69 ,26397,11733,14664,8528,3879,4649,17869,7854,10015
15,70-74 ,16711,6888,9823,5327,2276,3051,11384,4612,6772
16,75-79 ,11387,4354,7033,3531,1341,2190,7856,3013,4843
17,80-84 ,8875,3291,5584,2955,1100,1855,5920,2191,3729
18,85+,9689,3380,6309,3006,1021,1985,6683,2359,4324
