,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,HÃ  Giang,854679,431771,422908,135571,67127,68444,719108,364644,354464
1,0-4 ,98077,50605,47472,13409,7057,6352,84668,43548,41120
2,5-9,100314,51264,49050,13917,7267,6650,86397,43997,42400
3,10-14,83308,42424,40884,13001,6495,6506,70307,35929,34378
4,15-19 ,65875,34779,31096,9125,4570,4555,56750,30209,26541
5,20-24 ,65202,35122,30080,6573,3351,3222,58629,31771,26858
6,25-29 ,77497,41368,36129,11107,5370,5737,66390,35998,30392
7,30-34 ,71896,37448,34448,12988,6246,6742,58908,31202,27706
8,35-39 ,57650,29625,28025,11649,5777,5872,46001,23848,22153
9,40-44 ,52495,26451,26044,10268,5171,5097,42227,21280,20947
10,45-49 ,46573,23112,23461,8715,4429,4286,37858,18683,19175
11,50-54 ,40714,19799,20915,7185,3589,3596,33529,16210,17319
12,55-59 ,32588,15183,17405,6019,2913,3106,26569,12270,14299
13,60-64 ,21229,9395,11834,4474,2051,2423,16755,7344,9411
14,65-69 ,13333,5570,7763,2559,1099,1460,10774,4471,6303
15,70-74 ,10769,4136,6633,1933,772,1161,8836,3364,5472
16,75-79 ,7679,2807,4872,1222,484,738,6457,2323,4134
17,80-84 ,4793,1527,3266,763,294,469,4030,1233,2797
18,85+,4687,1156,3531,664,192,472,4023,964,3059
