,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,HÃ  Nam,852800,419751,433049,142788,70552,72236,710012,349199,360813
1,0-4 ,74762,39638,35124,12286,6610,5676,62476,33028,29448
2,5-9,74156,38785,35371,13288,7009,6279,60868,31776,29092
3,10-14,59179,30530,28649,10505,5517,4988,48674,25013,23661
4,15-19 ,54260,28250,26010,10863,5800,5063,43397,22450,20947
5,20-24 ,46620,23968,22652,6969,3454,3515,39651,20514,19137
6,25-29 ,67580,34932,32648,10919,5214,5705,56661,29718,26943
7,30-34 ,66416,34009,32407,11770,5579,6191,54646,28430,26216
8,35-39 ,58888,29713,29175,11623,5724,5899,47265,23989,23276
9,40-44 ,51651,25613,26038,9709,4852,4857,41942,20761,21181
10,45-49 ,52572,25515,27057,8415,4191,4224,44157,21324,22833
11,50-54 ,52003,24773,27230,7373,3561,3812,44630,21212,23418
12,55-59 ,57295,26550,30745,8588,4104,4484,48707,22446,26261
13,60-64 ,45689,21339,24350,7238,3469,3769,38451,17870,20581
14,65-69 ,29897,12941,16956,4716,2046,2670,25181,10895,14286
15,70-74 ,19648,8742,10906,3344,1482,1862,16304,7260,9044
16,75-79 ,13468,5443,8025,1969,855,1114,11499,4588,6911
17,80-84 ,12250,4339,7911,1441,568,873,10809,3771,7038
18,85+,16466,4671,11795,1772,517,1255,14694,4154,10540
