,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Hà Nội,8053663,3991919,4061744,3962310,1942345,2019965,4091353,2049574,2041779
1,0-4 ,694775,370990,323785,321051,170084,150967,373724,200906,172818
2,5-9,744255,397708,346547,341877,181566,160311,402378,216142,186236
3,10-14,584755,307697,277058,268635,140818,127817,316120,166879,149241
4,15-19 ,532528,267205,265323,272338,132761,139577,260190,134444,125746
5,20-24 ,607971,295686,312285,341726,160447,181279,266245,135239,131006
6,25-29 ,707976,342521,365455,353127,165368,187759,354849,177153,177696
7,30-34 ,715284,351544,363740,352896,167851,185045,362388,183693,178695
8,35-39 ,667128,338548,328580,341879,169917,171962,325249,168631,156618
9,40-44 ,527374,266853,260521,268085,134548,133537,259289,132305,126984
10,45-49 ,448797,223774,225023,215737,106682,109055,233060,117092,115968
11,50-54 ,377049,184358,192691,162667,79144,83523,214382,105214,109168
12,55-59 ,431541,204201,227340,210353,99990,110363,221188,104211,116977
13,60-64 ,356618,168351,188267,181528,87768,93760,175090,80583,94507
14,65-69 ,229746,100899,128847,121319,53854,67465,108427,47045,61382
15,70-74 ,157428,68049,89379,85312,37285,48027,72116,30764,41352
16,75-79 ,108409,47358,61051,55487,26533,28954,52922,20825,32097
17,80-84 ,79498,30955,48543,36304,15916,20388,43194,15039,28155
18,85+,82531,25222,57309,31989,11813,20176,50542,13409,37133
