,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Hải Dương,1892254,940044,952210,477448,236487,240961,1414806,703557,711249
1,0-4 ,160828,86187,74641,39125,20919,18206,121703,65268,56435
2,5-9,169263,91008,78255,43621,23473,20148,125642,67535,58107
3,10-14,127217,67798,59419,34767,18539,16228,92450,49259,43191
4,15-19 ,107649,55474,52175,28049,14134,13915,79600,41340,38260
5,20-24 ,104729,52946,51783,26862,13310,13552,77867,39636,38231
6,25-29 ,152226,75844,76382,36003,17028,18975,116223,58816,57407
7,30-34 ,156706,79517,77189,40125,19229,20896,116581,60288,56293
8,35-39 ,140783,71488,69295,39926,20099,19827,100857,51389,49468
9,40-44 ,119449,59504,59945,32495,16229,16266,86954,43275,43679
10,45-49 ,120511,59722,60789,29530,14675,14855,90981,45047,45934
11,50-54 ,114300,55181,59119,26413,12757,13656,87887,42424,45463
12,55-59 ,124302,58853,65449,30423,14786,15637,93879,44067,49812
13,60-64 ,104765,49627,55138,25915,12592,13323,78850,37035,41815
14,65-69 ,63669,28320,35349,16202,7197,9005,47467,21123,26344
15,70-74 ,38448,17414,21034,9978,4498,5480,28470,12916,15554
16,75-79 ,27773,11496,16277,6709,3002,3707,21064,8494,12570
17,80-84 ,26588,9871,16717,5273,2131,3142,21315,7740,13575
18,85+,33048,9794,23254,6032,1889,4143,27016,7905,19111
