,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Khánh Hòa,1231107,612513,618594,519880,255346,264534,711227,357167,354060
1,0-4 ,91355,47860,43495,35366,18529,16837,55989,29331,26658
2,5-9,97149,50591,46558,38248,20071,18177,58901,30520,28381
3,10-14,95635,49479,46156,38053,19665,18388,57582,29814,27768
4,15-19 ,87718,45086,42632,35811,18278,17533,51907,26808,25099
5,20-24 ,83087,42777,40310,33411,16856,16555,49676,25921,23755
6,25-29 ,108948,55241,53707,45478,22350,23128,63470,32891,30579
7,30-34 ,100644,50723,49921,42813,21081,21732,57831,29642,28189
8,35-39 ,96081,48096,47985,41041,20220,20821,55040,27876,27164
9,40-44 ,91876,46819,45057,38711,19322,19389,53165,27497,25668
10,45-49 ,93794,47337,46457,41554,20730,20824,52240,26607,25633
11,50-54 ,82403,40794,41609,36877,17985,18892,45526,22809,22717
12,55-59 ,64086,30265,33821,29598,14027,15571,34488,16238,18250
13,60-64 ,47315,21345,25970,22252,10168,12084,25063,11177,13886
14,65-69 ,31567,13186,18381,14081,5819,8262,17486,7367,10119
15,70-74 ,20497,8380,12117,9003,3639,5364,11494,4741,6753
16,75-79 ,15808,6164,9644,6915,2652,4263,8893,3512,5381
17,80-84 ,11526,4061,7465,5233,1845,3388,6293,2216,4077
18,85+,11618,4309,7309,5435,2109,3326,6183,2200,3983
