,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Kon Tum,540438,271619,268819,172775,85766,87009,367663,185853,181810
1,0-4 ,60775,31060,29715,15995,8312,7683,44780,22748,22032
2,5-9,62437,31853,30584,17297,8816,8481,45140,23037,22103
3,10-14,55307,28087,27220,15577,7873,7704,39730,20214,19516
4,15-19 ,47259,24019,23240,13851,6704,7147,33408,17315,16093
5,20-24 ,43036,22434,20602,10509,5437,5072,32527,16997,15530
6,25-29 ,47155,23979,23176,14627,7100,7527,32528,16879,15649
7,30-34 ,45978,23272,22706,15450,7443,8007,30528,15829,14699
8,35-39 ,40335,20351,19984,13959,6896,7063,26376,13455,12921
9,40-44 ,31714,16101,15613,12304,6095,6209,19410,10006,9404
10,45-49 ,27435,14214,13221,11715,6060,5655,15720,8154,7566
11,50-54 ,23249,11737,11512,10119,5265,4854,13130,6472,6658
12,55-59 ,18540,8811,9729,7572,3718,3854,10968,5093,5875
13,60-64 ,13653,6182,7471,5431,2567,2864,8222,3615,4607
14,65-69 ,8757,3759,4998,3184,1439,1745,5573,2320,3253
15,70-74 ,5522,2258,3264,1959,861,1098,3563,1397,2166
16,75-79 ,3909,1523,2386,1309,515,794,2600,1008,1592
17,80-84 ,2553,931,1622,939,323,616,1614,608,1006
18,85+,2824,1048,1776,978,342,636,1846,706,1140
