,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Lai Châu,460196,233097,227099,81889,41015,40874,378307,192082,186225
1,0-4 ,54145,28089,26056,9374,4869,4505,44771,23220,21551
2,5-9,58394,29966,28428,9667,4966,4701,48727,25000,23727
3,10-14,52099,26703,25396,6877,3567,3310,45222,23136,22086
4,15-19 ,40779,21452,19327,6013,2970,3043,34766,18482,16284
5,20-24 ,36311,19263,17048,4025,2221,1804,32286,17042,15244
6,25-29 ,41765,21506,20259,7329,3455,3874,34436,18051,16385
7,30-34 ,40703,20654,20049,9326,4477,4849,31377,16177,15200
8,35-39 ,33364,17114,16250,8350,4352,3998,25014,12762,12252
9,40-44 ,25514,13035,12479,5293,2853,2440,20221,10182,10039
10,45-49 ,20448,10318,10130,4016,2074,1942,16432,8244,8188
11,50-54 ,17258,8334,8924,3355,1665,1690,13903,6669,7234
12,55-59 ,13632,6436,7196,3052,1438,1614,10580,4998,5582
13,60-64 ,8858,3905,4953,1974,872,1102,6884,3033,3851
14,65-69 ,5676,2423,3253,1294,545,749,4382,1878,2504
15,70-74 ,3639,1407,2232,734,280,454,2905,1127,1778
16,75-79 ,2573,1001,1572,453,177,276,2120,824,1296
17,80-84 ,1951,609,1342,337,98,239,1614,511,1103
18,85+,3087,882,2205,420,136,284,2667,746,1921
