,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Lâm Đồng,1296906,653074,643832,508091,252174,255917,788815,400900,387915
1,0-4 ,112902,58349,54553,38099,19895,18204,74803,38454,36349
2,5-9,119363,61705,57658,41976,21956,20020,77387,39749,37638
3,10-14,111082,57070,54012,40586,20738,19848,70496,36332,34164
4,15-19 ,97443,50170,47273,36541,18367,18174,60902,31803,29099
5,20-24 ,93128,49221,43907,34398,17208,17190,58730,32013,26717
6,25-29 ,111229,57832,53397,42540,21531,21009,68689,36301,32388
7,30-34 ,106933,54494,52439,42800,21277,21523,64133,33217,30916
8,35-39 ,98297,48831,49466,40072,19707,20365,58225,29124,29101
9,40-44 ,90387,45230,45157,36765,18175,18590,53622,27055,26567
10,45-49 ,88443,45047,43396,36544,18355,18189,51899,26692,25207
11,50-54 ,79303,40207,39096,34078,17250,16828,45225,22957,22268
12,55-59 ,65101,31432,33669,28828,13873,14955,36273,17559,18714
13,60-64 ,47504,22431,25073,21773,10338,11435,25731,12093,13638
14,65-69 ,28412,12616,15796,12445,5484,6961,15967,7132,8835
15,70-74 ,16839,7132,9707,7162,3105,4057,9677,4027,5650
16,75-79 ,11952,4703,7249,5138,1968,3170,6814,2735,4079
17,80-84 ,9033,3297,5736,4068,1487,2581,4965,1810,3155
18,85+,9555,3307,6248,4278,1460,2818,5277,1847,3430
