,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Lạng Sơn,781655,399410,382245,159814,78098,81716,621841,321312,300529
1,0-4 ,69754,37304,32450,13978,7429,6549,55776,29875,25901
2,5-9,70413,37011,33402,13855,7388,6467,56558,29623,26935
3,10-14,55993,28533,27460,11928,5854,6074,44065,22679,21386
4,15-19 ,49983,27060,22923,8362,4241,4121,41621,22819,18802
5,20-24 ,48781,28188,20593,7762,3887,3875,41019,24301,16718
6,25-29 ,68717,38699,30018,13246,6626,6620,55471,32073,23398
7,30-34 ,71626,39432,32194,14424,7241,7183,57202,32191,25011
8,35-39 ,62861,33282,29579,13424,6731,6693,49437,26551,22886
9,40-44 ,56363,28414,27949,11505,5374,6131,44858,23040,21818
10,45-49 ,49790,24479,25311,10840,5158,5682,38950,19321,19629
11,50-54 ,48055,22984,25071,10221,4877,5344,37834,18107,19727
12,55-59 ,45967,21157,24810,10539,5021,5518,35428,16136,19292
13,60-64 ,30910,13659,17251,7661,3498,4163,23249,10161,13088
14,65-69 ,17885,7295,10590,4421,1898,2523,13464,5397,8067
15,70-74 ,12738,4600,8138,3213,1185,2028,9525,3415,6110
16,75-79 ,9898,3649,6249,2125,894,1231,7773,2755,5018
17,80-84 ,6521,2122,4399,1252,464,788,5269,1658,3611
18,85+,5400,1542,3858,1058,332,726,4342,1210,3132
