,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Nam Định,1780393,872035,908358,323654,158127,165527,1456739,713908,742831
1,0-4 ,149432,78905,70527,25967,13805,12162,123465,65100,58365
2,5-9,153793,80334,73459,27559,14549,13010,126234,65785,60449
3,10-14,132660,68419,64241,23611,12217,11394,109049,56202,52847
4,15-19 ,107540,56403,51137,18545,9376,9169,88995,47027,41968
5,20-24 ,87083,45516,41567,14740,7158,7582,72343,38358,33985
6,25-29 ,120831,60752,60079,20578,9906,10672,100253,50846,49407
7,30-34 ,127955,63700,64255,24449,11823,12626,103506,51877,51629
8,35-39 ,122496,60939,61557,24715,12249,12466,97781,48690,49091
9,40-44 ,113042,55468,57574,22297,10945,11352,90745,44523,46222
10,45-49 ,113373,54728,58645,21366,10275,11091,92007,44453,47554
11,50-54 ,106508,50659,55849,18212,8745,9467,88296,41914,46382
12,55-59 ,125386,58690,66696,23393,11353,12040,101993,47337,54656
13,60-64 ,106636,49429,57207,20108,9747,10361,86528,39682,46846
14,65-69 ,78578,35174,43404,13747,6110,7637,64831,29064,35767
15,70-74 ,49811,22203,27608,10088,4228,5860,39723,17975,21748
16,75-79 ,29375,12284,17091,5890,2609,3281,23485,9675,13810
17,80-84 ,24803,9174,15629,4190,1666,2524,20613,7508,13105
18,85+,31091,9258,21833,4199,1366,2833,26892,7892,19000
