,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Ninh Thuáº­n,590467,296026,294441,211112,104904,106208,379355,191122,188233
1,0-4 ,52398,27244,25154,16783,8774,8009,35615,18470,17145
2,5-9,54881,28300,26581,18079,9431,8648,36802,18869,17933
3,10-14,52691,26999,25692,17331,8843,8488,35360,18156,17204
4,15-19 ,44175,23109,21066,14281,7393,6888,29894,15716,14178
5,20-24 ,40668,21871,18797,12505,6735,5770,28163,15136,13027
6,25-29 ,52222,26954,25268,18312,9380,8932,33910,17574,16336
7,30-34 ,47373,24201,23172,16992,8454,8538,30381,15747,14634
8,35-39 ,43991,21978,22013,16746,8308,8438,27245,13670,13575
9,40-44 ,41517,21169,20348,16087,8214,7873,25430,12955,12475
10,45-49 ,41503,20931,20572,16418,8275,8143,25085,12656,12429
11,50-54 ,35900,17841,18059,14337,7090,7247,21563,10751,10812
12,55-59 ,26660,12648,14012,10560,4994,5566,16100,7654,8446
13,60-64 ,19271,8278,10993,7875,3393,4482,11396,4885,6511
14,65-69 ,13913,5846,8067,5441,2210,3231,8472,3636,4836
15,70-74 ,8384,3384,5000,3456,1394,2062,4928,1990,2938
16,75-79 ,5940,2168,3772,2338,805,1533,3602,1363,2239
17,80-84 ,4678,1577,3101,1804,598,1206,2874,979,1895
18,85+,4302,1528,2774,1767,613,1154,2535,915,1620
