,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Phú Yên,872964,439078,433886,250888,124746,126142,622076,314332,307744
1,0-4 ,68007,35151,32856,18541,9701,8840,49466,25450,24016
2,5-9,73866,38035,35831,20411,10585,9826,53455,27450,26005
3,10-14,71694,36675,35019,20273,10293,9980,51421,26382,25039
4,15-19 ,62716,33443,29273,17665,9045,8620,45051,24398,20653
5,20-24 ,49739,27608,22131,13613,7291,6322,36126,20317,15809
6,25-29 ,68032,35404,32628,18880,9436,9444,49152,25968,23184
7,30-34 ,69538,35871,33667,20168,10162,10006,49370,25709,23661
8,35-39 ,67527,34085,33442,19829,9811,10018,47698,24274,23424
9,40-44 ,68035,35245,32790,19776,10148,9628,48259,25097,23162
10,45-49 ,69792,35506,34286,20833,10434,10399,48959,25072,23887
11,50-54 ,57826,29116,28710,18142,9109,9033,39684,20007,19677
12,55-59 ,40641,19223,21418,12713,6131,6582,27928,13092,14836
13,60-64 ,31058,13422,17636,9447,4207,5240,21611,9215,12396
14,65-69 ,24548,10626,13922,6940,3046,3894,17608,7580,10028
15,70-74 ,16282,6929,9353,4384,1839,2545,11898,5090,6808
16,75-79 ,11510,4430,7080,3108,1158,1950,8402,3272,5130
17,80-84 ,10921,4146,6775,3029,1175,1854,7892,2971,4921
18,85+,11232,4163,7069,3136,1175,1961,8096,2988,5108
