,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Quáº£ng Binh,895430,449296,446134,188386,93020,95366,707044,356276,350768
1,0-4 ,86921,45019,41902,18109,9396,8713,68812,35623,33189
2,5-9,81866,42517,39349,17333,9122,8211,64533,33395,31138
3,10-14,69050,35364,33686,14301,7340,6961,54749,28024,26725
4,15-19 ,61349,31769,29580,11813,6034,5779,49536,25735,23801
5,20-24 ,62291,32928,29363,11129,5226,5903,51162,27702,23460
6,25-29 ,77589,40864,36725,15522,7419,8103,62067,33445,28622
7,30-34 ,67701,35514,32187,15103,7346,7757,52598,28168,24430
8,35-39 ,60646,30857,29789,15040,7497,7543,45606,23360,22246
9,40-44 ,61186,31024,30162,13610,6956,6654,47576,24068,23508
10,45-49 ,57745,28631,29114,12131,6142,5989,45614,22489,23125
11,50-54 ,47981,23186,24795,9473,4528,4945,38508,18658,19850
12,55-59 ,46821,21606,25215,10457,4960,5497,36364,16646,19718
13,60-64 ,37799,17362,20437,8763,4139,4624,29036,13223,15813
14,65-69 ,23959,10515,13444,5472,2437,3035,18487,8078,10409
15,70-74 ,15734,6981,8753,3719,1681,2038,12015,5300,6715
16,75-79 ,13561,5650,7911,2729,1213,1516,10832,4437,6395
17,80-84 ,11136,4665,6471,1904,827,1077,9232,3838,5394
18,85+,12095,4844,7251,1778,757,1021,10317,4087,6230
