,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Quáº£ng Nam,1495812,735586,760226,379638,185368,194270,1116174,550218,565956
1,0-4 ,125707,65353,60354,31686,16515,15171,94021,48838,45183
2,5-9,125935,65449,60486,32927,17271,15656,93008,48178,44830
3,10-14,112352,58026,54326,28804,14866,13938,83548,43160,40388
4,15-19 ,98792,51707,47085,24681,12482,12199,74111,39225,34886
5,20-24 ,102106,53501,48605,24705,12124,12581,77401,41377,36024
6,25-29 ,128152,66474,61678,32841,15886,16955,95311,50588,44723
7,30-34 ,110936,57237,53699,31082,15330,15752,79854,41907,37947
8,35-39 ,98244,50389,47855,28297,14345,13952,69947,36044,33903
9,40-44 ,93980,47632,46348,25179,12941,12238,68801,34691,34110
10,45-49 ,103438,50925,52513,25662,12819,12843,77776,38106,39670
11,50-54 ,107928,52086,55842,26297,12757,13540,81631,39329,42302
12,55-59 ,69594,31804,37790,18269,8531,9738,51325,23273,28052
13,60-64 ,70126,30745,39381,17143,7756,9387,52983,22989,29994
14,65-69 ,46411,19579,26832,10569,4371,6198,35842,15208,20634
15,70-74 ,25992,10040,15952,5819,2258,3561,20173,7782,12391
16,75-79 ,24423,8248,16175,5142,1769,3373,19281,6479,12802
17,80-84 ,23749,7458,16291,4978,1525,3453,18771,5933,12838
18,85+,27947,8933,19014,5557,1822,3735,22390,7111,15279
