,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Quáº£ng Ninh,1320324,671522,648802,846254,427380,418874,474070,244142,229928
1,0-4 ,112228,58790,53438,67977,35463,32514,44251,23327,20924
2,5-9,123380,64423,58957,78193,40913,37280,45187,23510,21677
3,10-14,98077,51133,46944,62808,32822,29986,35269,18311,16958
4,15-19 ,80630,42026,38604,47166,24482,22684,33464,17544,15920
5,20-24 ,80762,43094,37668,45306,23741,21565,35456,19353,16103
6,25-29 ,111260,57771,53489,67415,33854,33561,43845,23917,19928
7,30-34 ,118493,61547,56946,76151,38511,37640,42342,23036,19306
8,35-39 ,108586,56976,51610,72757,37760,34997,35829,19216,16613
9,40-44 ,88364,44806,43558,58763,29506,29257,29601,15300,14301
10,45-49 ,86167,43428,42739,57086,28499,28587,29081,14929,14152
11,50-54 ,75467,38343,37124,49904,25484,24420,25563,12859,12704
12,55-59 ,77089,38678,38411,53624,27416,26208,23465,11262,12203
13,60-64 ,56876,27238,29638,39862,19360,20502,17014,7878,9136
14,65-69 ,35084,15722,19362,24505,11100,13405,10579,4622,5957
15,70-74 ,23522,9917,13605,16385,6901,9484,7137,3016,4121
16,75-79 ,18105,7867,10238,12166,5412,6754,5939,2455,3484
17,80-84 ,13247,5377,7870,8507,3526,4981,4740,1851,2889
18,85+,12987,4386,8601,7679,2630,5049,5308,1756,3552
