,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Quảng Trị,632375,313493,318882,195451,96662,98789,436924,216831,220093
1,0-4 ,59592,30810,28782,18551,9666,8885,41041,21144,19897
2,5-9,59042,30564,28478,18355,9553,8802,40687,21011,19676
3,10-14,55419,28202,27217,17040,8604,8436,38379,19598,18781
4,15-19 ,43600,22650,20950,11825,5993,5832,31775,16657,15118
5,20-24 ,36080,19419,16661,10117,5246,4871,25963,14173,11790
6,25-29 ,46987,24220,22767,15872,7798,8074,31115,16422,14693
7,30-34 ,43675,21964,21711,15593,7505,8088,28082,14459,13623
8,35-39 ,41653,20747,20906,15225,7502,7723,26428,13245,13183
9,40-44 ,43919,21816,22103,14510,7425,7085,29409,14391,15018
10,45-49 ,43119,21515,21604,13184,6529,6655,29935,14986,14949
11,50-54 ,39184,19295,19889,11493,5652,5841,27691,13643,14048
12,55-59 ,32800,15492,17308,10227,4854,5373,22573,10638,11935
13,60-64 ,26953,12764,14189,8742,4316,4426,18211,8448,9763
14,65-69 ,17143,7752,9391,5125,2324,2801,12018,5428,6590
15,70-74 ,12456,4859,7597,3305,1343,1962,9151,3516,5635
16,75-79 ,11764,4470,7294,2506,983,1523,9258,3487,5771
17,80-84 ,9175,3472,5703,1752,653,1099,7423,2819,4604
18,85+,9814,3482,6332,2029,716,1313,7785,2766,5019
