,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Sóc Trăng,1199653,597922,601731,388550,192658,195892,811103,405264,405839
1,0-4 ,80325,41461,38864,24664,12826,11838,55661,28635,27026
2,5-9,105140,54034,51106,31817,16442,15375,73323,37592,35731
3,10-14,101446,52088,49358,31998,16420,15578,69448,35668,33780
4,15-19 ,81643,42584,39059,26838,14004,12834,54805,28580,26225
5,20-24 ,63000,33246,29754,21400,11276,10124,41600,21970,19630
6,25-29 ,85181,43961,41220,28544,14566,13978,56637,29395,27242
7,30-34 ,98215,50526,47689,32600,16477,16123,65615,34049,31566
8,35-39 ,99942,52106,47836,33719,17304,16415,66223,34802,31421
9,40-44 ,93076,47548,45528,30407,15513,14894,62669,32035,30634
10,45-49 ,83066,42106,40960,27342,13830,13512,55724,28276,27448
11,50-54 ,77850,37667,40183,26032,12549,13483,51818,25118,26700
12,55-59 ,67322,31438,35884,22178,10325,11853,45144,21113,24031
13,60-64 ,58949,25749,33200,18857,8009,10848,40092,17740,22352
14,65-69 ,44669,19659,25010,13713,5814,7899,30956,13845,17111
15,70-74 ,22682,9749,12933,6945,2942,4003,15737,6807,8930
16,75-79 ,14280,5147,9133,4528,1644,2884,9752,3503,6249
17,80-84 ,11325,4070,7255,3312,1167,2145,8013,2903,5110
18,85+,11542,4783,6759,3656,1550,2106,7886,3233,4653
