,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,SÆ¡n La,1248415,632598,615817,172861,85835,87026,1075554,546763,528791
1,0-4 ,132516,70612,61904,16115,8553,7562,116401,62059,54342
2,5-9,141866,73263,68603,16962,8920,8042,124904,64343,60561
3,10-14,121593,62464,59129,14171,7198,6973,107422,55266,52156
4,15-19 ,94772,49969,44803,9962,5085,4877,84810,44884,39926
5,20-24 ,91335,47801,43534,8604,4312,4292,82731,43489,39242
6,25-29 ,115623,59570,56053,13857,6814,7043,101766,52756,49010
7,30-34 ,114627,58476,56151,15860,7795,8065,98767,50681,48086
8,35-39 ,91908,46457,45451,14570,7226,7344,77338,39231,38107
9,40-44 ,75893,37766,38127,12359,6087,6272,63534,31679,31855
10,45-49 ,66211,32919,33292,11332,5596,5736,54879,27323,27556
11,50-54 ,59011,28782,30229,10198,4995,5203,48813,23787,25026
12,55-59 ,52088,25172,26916,10595,5220,5375,41493,19952,21541
13,60-64 ,32148,15330,16818,6863,3339,3524,25285,11991,13294
14,65-69 ,18017,8107,9910,3923,1763,2160,14094,6344,7750
15,70-74 ,11449,4822,6627,2498,1024,1474,8951,3798,5153
16,75-79 ,9130,3749,5381,1865,738,1127,7265,3011,4254
17,80-84 ,7111,2739,4372,1573,551,1022,5538,2188,3350
18,85+,13117,4600,8517,1554,619,935,11563,3981,7582
