,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,TP. Hồ Chí Minh,8993082,4381242,4611840,7125493,3448709,3676784,1867589,932533,935056
1,0-4 ,547584,286552,261032,423811,222204,201607,123773,64348,59425
2,5-9,610815,319915,290900,465222,243679,221543,145593,76236,69357
3,10-14,544876,284465,260411,413499,216286,197213,131377,68179,63198
4,15-19 ,656093,334021,322072,528527,267595,260932,127566,66426,61140
5,20-24 ,837965,410036,427929,700751,340245,360506,137214,69791,67423
6,25-29 ,952694,461032,491662,772520,371417,401103,180174,89615,90559
7,30-34 ,914990,442634,472356,713031,343198,369833,201959,99436,102523
8,35-39 ,830842,401918,428924,635841,304854,330987,195001,97064,97937
9,40-44 ,687347,338154,349193,527771,255770,272001,159576,82384,77192
10,45-49 ,622012,310729,311283,490704,242229,248475,131308,68500,62808
11,50-54 ,514473,249882,264591,411799,198207,213592,102674,51675,50999
12,55-59 ,432386,200122,232264,352992,162673,190319,79394,37449,41945
13,60-64 ,339692,148630,191062,279354,122272,157082,60338,26358,33980
14,65-69 ,203635,84044,119591,166305,68383,97922,37330,15661,21669
15,70-74 ,108498,42311,66187,88483,34613,53870,20015,7698,12317
16,75-79 ,82476,29843,52633,66835,24381,42454,15641,5462,10179
17,80-84 ,55838,19231,36607,45966,16013,29953,9872,3218,6654
18,85+,50866,17723,33143,42082,14690,27392,8784,3033,5751
