,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,T̢y Ninh,1169165,584180,584985,207186,100858,106328,961979,483322,478657
1,0-4 ,73188,38164,35024,12772,6670,6102,60416,31494,28922
2,5-9,88372,46252,42120,15115,7924,7191,73257,38328,34929
3,10-14,87208,45213,41995,14819,7561,7258,72389,37652,34737
4,15-19 ,77105,40149,36956,12660,6487,6173,64445,33662,30783
5,20-24 ,75288,39196,36092,11199,5735,5464,64089,33461,30628
6,25-29 ,102605,53018,49587,16422,8228,8194,86183,44790,41393
7,30-34 ,111246,58039,53207,18625,9409,9216,92621,48630,43991
8,35-39 ,101568,52481,49087,17649,8828,8821,83919,43653,40266
9,40-44 ,90310,46094,44216,15503,7675,7828,74807,38419,36388
10,45-49 ,85850,42860,42990,15982,7744,8238,69868,35116,34752
11,50-54 ,80895,39443,41452,15920,7479,8441,64975,31964,33011
12,55-59 ,65006,29972,35034,13752,6305,7447,51254,23667,27587
13,60-64 ,48946,20895,28051,10547,4604,5943,38399,16291,22108
14,65-69 ,33753,14554,19199,6556,2736,3820,27197,11818,15379
15,70-74 ,16837,6695,10142,3291,1284,2007,13546,5411,8135
16,75-79 ,13102,4623,8479,2576,896,1680,10526,3727,6799
17,80-84 ,9701,3214,6487,1987,644,1343,7714,2570,5144
18,85+,8185,3318,4867,1811,649,1162,6374,2669,3705
