,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Thái Bình,1860447,905408,955039,196453,94239,102214,1663994,811169,852825
1,0-4 ,142123,74882,67241,15471,8093,7378,126652,66789,59863
2,5-9,146305,76276,70029,16994,8919,8075,129311,67357,61954
3,10-14,127483,66224,61259,14457,7576,6881,113026,58648,54378
4,15-19 ,110342,56915,53427,11386,5424,5962,98956,51491,47465
5,20-24 ,97143,49639,47504,9969,4236,5733,87174,45403,41771
6,25-29 ,131539,67994,63545,12580,5790,6790,118959,62204,56755
7,30-34 ,128252,64863,63389,13934,6451,7483,114318,58412,55906
8,35-39 ,130136,64260,65876,15823,7700,8123,114313,56560,57753
9,40-44 ,123393,60321,63072,13907,6757,7150,109486,53564,55922
10,45-49 ,126216,60560,65656,12681,6072,6609,113535,54488,59047
11,50-54 ,118780,56747,62033,10476,4887,5589,108304,51860,56444
12,55-59 ,130905,59935,70970,12935,6116,6819,117970,53819,64151
13,60-64 ,111998,51545,60453,11937,5862,6075,100061,45683,54378
14,65-69 ,83719,36459,47260,8887,3987,4900,74832,32472,42360
15,70-74 ,52277,22975,29302,6850,2988,3862,45427,19987,25440
16,75-79 ,33331,13870,19461,3604,1750,1854,29727,12120,17607
17,80-84 ,28828,10723,18105,2173,900,1273,26655,9823,16832
18,85+,37677,11220,26457,2389,731,1658,35288,10489,24799
