,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Thanh HÃ³a,3640128,1816001,1824127,541403,265825,275578,3098725,1550176,1548549
1,0-4 ,332655,175665,156990,50318,26807,23511,282337,148858,133479
2,5-9,320528,167999,152529,51119,26973,24146,269409,141026,128383
3,10-14,242132,125624,116508,39347,20352,18995,202785,105272,97513
4,15-19 ,213173,110251,102922,30247,15229,15018,182926,95022,87904
5,20-24 ,226937,119988,106949,25195,12277,12918,201742,107711,94031
6,25-29 ,338575,181810,156765,44115,20914,23201,294460,160896,133564
7,30-34 ,303259,162585,140674,45858,22569,23289,257401,140016,117385
8,35-39 ,260075,134204,125871,45294,22622,22672,214781,111582,103199
9,40-44 ,223161,110629,112532,36222,17773,18449,186939,92856,94083
10,45-49 ,226837,111027,115810,33131,16273,16858,193706,94754,98952
11,50-54 ,214463,101481,112982,27915,13153,14762,186548,88328,98220
12,55-59 ,224100,102392,121708,33330,15821,17509,190770,86571,104199
13,60-64 ,169273,79042,90231,28005,13531,14474,141268,65511,75757
14,65-69 ,121570,52245,69325,20814,9222,11592,100756,43023,57733
15,70-74 ,77818,32498,45320,12983,5611,7372,64835,26887,37948
16,75-79 ,48108,18780,29328,7009,3013,3996,41099,15767,25332
17,80-84 ,38166,13153,25013,4737,1842,2895,33429,11311,22118
18,85+,59298,16628,42670,5764,1843,3921,53534,14785,38749
