,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Thừa Thiên Huế,1128620,558488,570132,558531,273128,285403,570089,285360,284729
1,0-4 ,94547,49023,45524,44066,22833,21233,50481,26190,24291
2,5-9,92193,47892,44301,43569,22705,20864,48624,25187,23437
3,10-14,86152,44176,41976,40075,20585,19490,46077,23591,22486
4,15-19 ,87586,43461,44125,44662,21252,23410,42924,22209,20715
5,20-24 ,94474,46661,47813,52135,24072,28063,42339,22589,19750
6,25-29 ,93058,47825,45233,47548,23842,23706,45510,23983,21527
7,30-34 ,81255,41977,39278,42238,21337,20901,39017,20640,18377
8,35-39 ,73625,37880,35745,37479,19118,18361,36146,18762,17384
9,40-44 ,70459,36063,34396,34739,17712,17027,35720,18351,17369
10,45-49 ,76491,38714,37777,37421,18998,18423,39070,19716,19354
11,50-54 ,71265,35298,35967,34950,17255,17695,36315,18043,18272
12,55-59 ,54466,25716,28750,28308,13369,14939,26158,12347,13811
13,60-64 ,47882,21750,26132,24387,11350,13037,23495,10400,13095
14,65-69 ,32754,14604,18150,15360,6789,8571,17394,7815,9579
15,70-74 ,22112,9018,13094,9996,4024,5972,12116,4994,7122
16,75-79 ,18389,7136,11253,8099,3157,4942,10290,3979,6311
17,80-84 ,15660,5616,10044,6626,2333,4293,9034,3283,5751
18,85+,16252,5678,10574,6873,2397,4476,9379,3281,6098
