,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Tiền Giang,1764185,865821,898364,247335,117109,130226,1516850,748712,768138
1,0-4 ,108197,56047,52150,13697,7086,6611,94500,48961,45539
2,5-9,126632,65397,61235,16198,8380,7818,110434,57017,53417
3,10-14,130626,67439,63187,17062,8765,8297,113564,58674,54890
4,15-19 ,117336,60187,57149,15791,7987,7804,101545,52200,49345
5,20-24 ,99004,50571,48433,13477,6554,6923,85527,44017,41510
6,25-29 ,126198,63471,62727,16798,8176,8622,109400,55295,54105
7,30-34 ,142782,72552,70230,18425,8841,9584,124357,63711,60646
8,35-39 ,147258,73700,73558,19974,9717,10257,127284,63983,63301
9,40-44 ,137511,70056,67455,18610,9173,9437,118901,60883,58018
10,45-49 ,137224,69429,67795,20391,9823,10568,116833,59606,57227
11,50-54 ,141183,70712,70471,21896,10340,11556,119287,60372,58915
12,55-59 ,108221,50682,57539,18030,8210,9820,90191,42472,47719
13,60-64 ,82207,34174,48033,14118,5797,8321,68089,28377,39712
14,65-69 ,60920,26053,34867,8820,3536,5284,52100,22517,29583
15,70-74 ,34691,13770,20921,4863,1732,3131,29828,12038,17790
16,75-79 ,26394,8918,17476,3933,1329,2604,22461,7589,14872
17,80-84 ,18538,6009,12529,2684,836,1848,15854,5173,10681
18,85+,19263,6654,12609,2568,827,1741,16695,5827,10868
