,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Trà Vinh,1009168,496858,512310,173586,83961,89625,835582,412897,422685
1,0-4 ,72497,37434,35063,10435,5428,5007,62062,32006,30056
2,5-9,84814,43922,40892,12426,6490,5936,72388,37432,34956
3,10-14,76690,39385,37305,11838,6142,5696,64852,33243,31609
4,15-19 ,64756,33256,31500,12629,6245,6384,52127,27011,25116
5,20-24 ,54590,27650,26940,12082,5744,6338,42508,21906,20602
6,25-29 ,72558,36591,35967,12811,6456,6355,59747,30135,29612
7,30-34 ,84788,43295,41493,14495,7227,7268,70293,36068,34225
8,35-39 ,89175,45803,43372,15538,7681,7857,73637,38122,35515
9,40-44 ,78886,40240,38646,13765,6928,6837,65121,33312,31809
10,45-49 ,67171,33883,33288,11975,5958,6017,55196,27925,27271
11,50-54 ,66867,32510,34357,12152,5756,6396,54715,26754,27961
12,55-59 ,59669,27842,31827,10948,5097,5851,48721,22745,25976
13,60-64 ,49647,21418,28229,8798,3719,5079,40849,17699,23150
14,65-69 ,37401,16289,21112,5950,2460,3490,31451,13829,17622
15,70-74 ,18407,7094,11313,2831,1082,1749,15576,6012,9564
16,75-79 ,12788,4173,8615,2037,646,1391,10751,3527,7224
17,80-84 ,9766,3142,6624,1455,447,1008,8311,2695,5616
18,85+,8698,2931,5767,1421,455,966,7277,2476,4801
