,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,VÄ©nh Long,1022791,503878,518913,169673,82527,87146,853118,421351,431767
1,0-4 ,62585,32633,29952,9431,4873,4558,53154,27760,25394
2,5-9,76254,39456,36798,11287,5847,5440,64967,33609,31358
3,10-14,72772,37387,35385,11018,5678,5340,61754,31709,30045
4,15-19 ,66068,34876,31192,12545,6896,5649,53523,27980,25543
5,20-24 ,50530,27118,23412,11963,6917,5046,38567,20201,18366
6,25-29 ,65611,32724,32887,12028,5895,6133,53583,26829,26754
7,30-34 ,79667,39826,39841,13076,6199,6877,66591,33627,32964
8,35-39 ,87351,43943,43408,14204,6827,7377,73147,37116,36031
9,40-44 ,81299,41140,40159,12781,6258,6523,68518,34882,33636
10,45-49 ,78454,39700,38754,12771,6143,6628,65683,33557,32126
11,50-54 ,80821,40218,40603,13471,6422,7049,67350,33796,33554
12,55-59 ,68157,32144,36013,11613,5337,6276,56544,26807,29737
13,60-64 ,54688,23139,31549,9338,3918,5420,45350,19221,26129
14,65-69 ,40673,17809,22864,5840,2380,3460,34833,15429,19404
15,70-74 ,19754,8331,11423,2869,1104,1765,16885,7227,9658
16,75-79 ,14677,5005,9672,2206,743,1463,12471,4262,8209
17,80-84 ,11310,3915,7395,1598,545,1053,9712,3370,6342
18,85+,12120,4514,7606,1634,545,1089,10486,3969,6517
