,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Yên Bái,821030,412977,408053,162655,79884,82771,658375,333093,325282
1,0-4 ,80971,42667,38304,13380,7134,6246,67591,35533,32058
2,5-9,83125,43034,40091,14139,7433,6706,68986,35601,33385
3,10-14,70058,35828,34230,13691,6989,6702,56367,28839,27528
4,15-19 ,56690,29760,26930,9557,4868,4689,47133,24892,22241
5,20-24 ,51535,27313,24222,5738,2937,2801,45797,24376,21421
6,25-29 ,70634,37543,33091,10779,5136,5643,59855,32407,27448
7,30-34 ,69928,36546,33382,12714,6122,6592,57214,30424,26790
8,35-39 ,62107,31785,30322,13658,6762,6896,48449,25023,23426
9,40-44 ,55530,27800,27730,12484,6160,6324,43046,21640,21406
10,45-49 ,49576,24688,24888,11203,5614,5589,38373,19074,19299
11,50-54 ,45442,22173,23269,9750,4738,5012,35692,17435,18257
12,55-59 ,40883,19427,21456,10248,5025,5223,30635,14402,16233
13,60-64 ,28407,13054,15353,8378,3995,4383,20029,9059,10970
14,65-69 ,18776,7945,10831,5996,2538,3458,12780,5407,7373
15,70-74 ,13192,5081,8111,4557,1841,2716,8635,3240,5395
16,75-79 ,9257,3532,5725,2738,1181,1557,6519,2351,4168
17,80-84 ,6592,2360,4232,1768,734,1034,4824,1626,3198
18,85+,8327,2441,5886,1877,677,1200,6450,1764,4686
