,featurecla,scalerank,adm1_code,diss_me,iso_3166_2,wikipedia,iso_a2,adm0_sr,name,name_alt,name_local,type,type_en,code_local,code_hasc,note,hasc_maybe,region,region_cod,provnum_ne,gadm_level,check_me,datarank,abbrev,postal,area_sqkm,sameascity,labelrank,name_len,mapcolor9,mapcolor13,fips,fips_alt,woe_id,woe_label,woe_name,latitude,longitude,sov_a3,adm0_a3,adm0_label,admin,geonunit,gu_a3,gn_id,gn_name,gns_id,gns_name,gn_level,gn_region,gn_a1_code,region_sub,sub_code,gns_level,gns_lang,gns_adm1,gns_region,min_label,max_label,min_zoom,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,ne_id,name_he,name_uk,name_ur,name_fa,name_zht,FCLASS_ISO,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,FCLASS_TLC,baseClass,subClass,lat,lon,GEOlayersMatchProperty,y_2005
0,Admin-1 states provinces,7,VNM-486,486,VN-28,,VN,1,Kon Tum,Kon Tum,,Tỉnh,Province,,VN.KT,,,Nam Trung Bộ,VNM-KTM,19,2,20,5,,,0,-99,7,7,5,4,VM55,,20070076,"Kon Tum, VN, Vietnam",Kon Tum,14.7451,107.969,VNM,VNM,2,Vietnam,Vietnam,VNM,1565088,Tinh Kon Tum,-3731073,"Kon Tum, Tinh",1,,VN.55,,,1,eng,VM55,,8.0,11,8,Q36315,محافظة كون توم,কন্ তুম,Kon Tum,Kon Tum,Kon Tum,Kon Tum,Κον Τουμ,कॉन टम प्रांत,Kon Tum,Kon Tum,Kon Tum,コントゥム省,꼰뚬성,Kon Tum,Prowincja Kon Tum,Kon Tum,Контум,Kon Tum,Kon Tum,Kon Tum,昆嵩省,1159308305,קון טום,Контум,کون تم صوبہ,استان کون توم,崑嵩省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,14.662683776074308,107.8853078343014,0 Kon Tum,3.27
1,Admin-1 states provinces,7,VNM-4835,4835,VN-72,http://en.wikipedia.org/wiki/%C4%90%E1%BA%AFk_N%C3%B4ng_province,VN,1,Đắk Nông,Dak Nong,,Tỉnh,Province,,VN.DO,,,Tây Nguyên,VNM-DLA,0,2,20,5,,,0,-99,7,8,5,4,VM91,,28301719,"Dac Nong, VN, Vietnam",Dac Nong,12.1425,107.66,VNM,VNM,2,Vietnam,Vietnam,VNM,1904987,Dak Nong,11412978,"Â¿ak Nong, Tinh",1,,VN.91,Central Highlands,,1,vie,VM91,,8.0,11,8,Q36723,محافظة داك نونغ,ডাক নোং,Đắk Nông,Đắk Nông,Đăk Nông,Đắk Nông,Ντακ Νονγκ,डाक नोंग,Đắk Nông,Dak Nong,Dak Nong,ダクノン省,닥농성,Đắk Nông,Prowincja Đăk Nông,Dak Nong,Дакнонг,Dak Nong,Dak Nong,Đắk Nông,得农省,1159315895,דאק נאונגם,Дакнонг,داک نونگ صوبہ,استان داک نونگ,得農省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,12.193535542770986,107.68639946746724,1 Đắk Nông,4.99
2,Admin-1 states provinces,7,VNM-477,477,VN-33,,VN,1,Đắk Lắk,Dak Lak|Dac Lac,,Tỉnh,Province,,VN.DC,,,Tây Nguyên,VNM-DLA,22,2,20,5,,,0,-99,7,7,5,4,VM88,,2347720,"Dak Lak, VN, Vietnam",Dak Lak,12.7691,108.133,VNM,VNM,2,Vietnam,Vietnam,VNM,1584169,Tinh Dak Lak,-3711947,"Dak Lak, Tinh",1,,VN.88,Central Highlands,,1,vie,VM88,,8.0,11,8,Q36690,محافظة داك لاك,ডাক লাক,Đắk Lắk,Đắk Lắk,Đắk Lắk,Đắk Lắk,Ντακ Λακ,डाक लाक,Đắk Lắk,Dak Lak,Dak Lak,ダクラク省,닥락성,Đắk Lắk,Prowincja Đăk Lăk,Dac Lac,Даклак,Dak Lak,Dak Lak,Đắk Lắk,多乐省,1159309225,דאקלאק,Даклак,داک لاک صوبہ,استان داک لاک,多樂省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,12.770202744810804,108.24884993182803,2 Đắk Lắk,1.4
3,Admin-1 states provinces,7,VNM-478,478,VN-30,,VN,1,Gia Lai,Gia Lai,,Tỉnh,Province,,VN.GL,,,Nam Trung Bộ,VNM-GLA,23,2,20,5,,,0,-99,7,7,5,4,VM49,,2347733,"Gia Lai, VN, Vietnam",Gia Lai,13.8493,108.156,VNM,VNM,2,Vietnam,Vietnam,VNM,1581088,Tinh Gia Lai,-3715035,"Gia Lai, Tinh",1,,VN.49,South Central Coast,VM57,1,vie,VM49,,8.0,11,8,Q36662,محافظة زا لاي,জিয়া লিয়া,Gia Lai,Gia Lai,Gia Lai,Gia Lai,Γκία Λέι,जिया लाई प्रांत,Gia Lai,Gia Lai,Gia Lai,ザライ省,잘라이성,Gia Lai,Prowincja Gia Lai,Gia Lai,Зялай,Gia Lai,Gia Lai,Gia Lai,嘉莱省,1159309227,יה לאי,Зялай,گیا لائی صوبہ,استان گیا لای,嘉萊省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,13.818420416818782,108.1560390595844,3 Gia Lai,2.4
4,Admin-1 states provinces,7,VNM-484,484,VN-58,,VN,1,Bình Phước,Binh Phuoc,,Tỉnh,Province,,VN.BP,,,Đông Nam Bộ,VNM-SBE,20,2,20,5,,BP,0,-99,7,10,5,4,VM76,,20070086,"Bin Phuoc, VN, Vietnam",Bình Phước,11.6805,106.897,VNM,VNM,2,Vietnam,Vietnam,VNM,1905480,Tinh Binh Phuoc,409916,"Binh Phuoc, Tinh",1,,VN.76,,,1,fas,VM76,,8.0,11,8,Q36672,محافظة بنه فوك,বিন পো,Bình Phước,Bình Phước,Bình Phước,Bình Phước,Μπινχ Φουόκ,बिन्ह फु'ओक प्रांत,Bình Phước,Binh Phuoc,Binh Phuoc,ビンフオック省,빈프억성,Bình Phước,Prowincja Bình Phước,Binh Phuoc,Биньфыок,Binh Phuoc,Bình Phước,Bình Phước,平福省,1159308301,בין פייק,Біньфиок,بنہ فووک صوبہ,استان بین فوک,平福省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,11.748330789228111,106.9069730954538,4 Bình Phước,2.86
5,Admin-1 states provinces,7,VNM-444,444,VN-37,,VN,1,Tây Ninh,Tay Ninh,,Tỉnh,Province,,VN.TN,,,Đông Nam Bộ,VNM-TNI,21,2,20,5,,TN,0,-99,7,8,5,4,VM33,,2347714,"Tay Ninh, VN, Vietnam",Tây Ninh,11.4121,106.14,VNM,VNM,2,Vietnam,Vietnam,VNM,1566557,Tinh Tay Ninh,-3729603,"Tay Ninh, Tinh",1,,VN.33,,VM33,1,eng,VM33,,8.7,11,8,Q36608,محافظة تاي ننه,তায় নিহ্ন,Tây Ninh,Tây Ninh,Tây Ninh,Tây Ninh,Τάι Νινχ,ताय निन्ह,Tây Ninh,Tay Ninh,Tay Ninh,タイニン省,떠이닌성,Tây Ninh,Prowincja Tây Ninh,Tay Ninh,Тэйнинь,Tay Ninh,Tây Ninh,Tây Ninh,西宁省,1159308319,טאי נין,Тейнінь,تاے ننہ صوبہ,استان تای نینها,西寧省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,11.365611880614937,106.14019311237364,5 Tây Ninh,0.87
6,Admin-1 states provinces,7,VNM-503,503,VN-41,,VN,1,Long An,Long An,,Tỉnh,Province,,VN.LA,,,đồng bằng sông Cửu Long,VNM-LAN,31,2,20,5,,LA,0,-99,7,7,5,4,VM24,,2347710,"Long An, VN, Vietnam",Long An,10.6869,106.134,VNM,VNM,2,Vietnam,Vietnam,VNM,1575788,Tinh Long An,-3720349,"Long An, Tinh",1,,VN.24,,VM24,1,eng,VM24,,8.7,11,8,Q26573,محافظة لونغ أن,লং আন,Long An,Long An,Long An,Long An,Λονγκ Άν,लॉन्ग एन,Long An,Long An,Long An,ロンアン省,롱안성,Long An,Prowincja Long An,Long An,Лонган,Long An,Long An,Long An,隆安省,1159308385,לאונגם אנג,Лонган,لونگ آن صوبہ,استان لونگ آن,隆安省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,10.719190985525556,106.13383655129704,6 Long An,0.81
7,Admin-1 states provinces,7,VNM-500,500,VN-45,,VN,1,Đồng Tháp,Dong Thap,,Tỉnh,Province,,VN.DT,,,đồng bằng sông Cửu Long,VNM-DTH,13,2,20,5,,DT,0,-99,7,9,5,4,VM09,,2347722,"Dong Thap, VN, Vietnam",Ð?ng Tháp,10.6644,105.586,VNM,VNM,2,Vietnam,Vietnam,VNM,1582562,Tinh Dong Thap,-3713559,"Dong Thap, Tinh",1,,VN.09,,VM46,1,vie,VM09,,8.7,11,8,Q36676,محافظة دون تاب,দোং থাপ প্রদেশ,Đồng Tháp,Đồng Tháp,Đồng Tháp,Đồng Tháp,Ντονγκ Θαπ,दांग थाप प्रांत,Ðong Tháp,Dong Thap,Dong Thap,ドンタップ省,동탑성,Đồng Tháp,Prowincja Đồng Tháp,Dong Thap,Донгтхап,Dong Thap,Đồng Tháp,Đồng Tháp,同塔省,1159308381,דאונגם טהאפ,Донгтхап,دونگ تھاپ صوبہ,استان دونگ تاپ,同塔省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,10.650100975401337,105.59952675966628,7 Đồng Tháp,0.79
8,Admin-1 states provinces,7,VNM-498,498,VN-44,,VN,1,An Giang,An Giang,,Tỉnh,Province,,VN.AG,,,đồng bằng sông Cửu Long,VNM-AGI,14,2,20,5,,AG,0,-99,7,8,5,4,VM01,,2347719,"An Giang, VN, Vietnam",An Giang,10.5736,105.154,VNM,VNM,2,Vietnam,Vietnam,VNM,1594446,Tinh An Giang,-3701657,"An Giang, Tinh",1,,VN.01,,VM43,1,vie,VM01,,8.7,11,8,Q36592,محافظة أن زانغ,আন জাং,An Giang,An Giang,An Giang,An Giang,Αν Γκιάνγκ,एन गियांग,An Giang,An Giang,An Giang,アンザン省,안장성,An Giang,Prowincja An Giang,An Giang,Анзянг,An Giang,An Giang,An Giang,安江省,1159308377,אנג יאנג,Анзянг,آن گیانگ صوبہ,استان ان گینگ,安江省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,10.518931328101631,105.18373464026668,8 An Giang,0.51
9,Admin-1 states provinces,7,VNM-502,502,VN-47,,VN,1,Kiên Giang,Kien Giang,,Tỉnh,Province,,VN.KG,,,đồng bằng sông Cửu Long,VNM-KGI,6,2,20,5,,KG,0,-99,7,10,5,4,VM21,,2347723,"Kien Giang, VN, Vietnam",Kiên Giang,9.85962,105.284,VNM,VNM,2,Vietnam,Vietnam,VNM,1579008,Tinh Kien Giang,-3717124,"Kien Giang, Tinh",1,,VN.21,,VM47,1,eng,VM21,,8.0,11,8,Q36576,محافظة كن زانغ,কিয়েন গিয়াং,Kiên Giang,Kiên Giang,Kiên Giang,Kiên Giang,Κιέν Γκιάνγκ,कीन गियांग,Kiên Giang,Kien Giang,Kien Giang,キエンザン省,끼엔장성,Kiên Giang,Prowincja Kiên Giang,Kien Giang,Кьензянг,Kien Giang,Kien Giang,Kiên Giang,坚江省,1159308383,קיינג יאנג,Кьєнзянг,کیئن گیانگ صوبہ,استان کین گیانگ,堅江省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,9.970429124417974,105.0523405269324,9 Kiên Giang,1.3
10,Admin-1 states provinces,7,VNM-450,450,VN-71,,VN,1,Điện Biên,Dien Bien,,Tỉnh,Province,,VN.DB,,,Tây Bắc,VNM-LCH,57,2,20,5,,DB,0,-99,7,10,5,4,VM92,,28301718,"Dien Bien, VN, Vietnam",Điện Biên,21.7487,103.226,VNM,VNM,2,Vietnam,Vietnam,VNM,1905099,Huyen Dien Bien,11412980,"Â¿ien Bien, Tinh",1,,VN.92,,,1,vie,VM92,,8.0,11,8,Q36955,محافظة دين بين,দিয়েন বিয়েন,Điện Biên,Điện Biên,Điện Biên,Điện Biên,Ντιέν Μπιέν,दिएन बिएन प्रांत,Điện Biên,Dien Bien,Dien Bien,ディエンビエン省,디엔비엔성,Điện Biên,Prowincja Điện Biên,Dien Bien,Дьенбьен,Dien Bien,Dien Bien,Điện Biên,奠边省,1159308321,דיאן ביאן,Дьєнб'єн,دیئن بیئن صوبہ,استان دینبین,奠邊省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,21.78725210546423,102.96635569002729,10 Điện Biên,3.59
11,Admin-1 states provinces,7,VNM-455,455,VN-05,,VN,1,Sơn La,Son La,,Tỉnh,Province,,VN.SL,,,Tây Bắc,VNM-SLA,58,2,20,5,,,0,7,7,6,5,4,VM32,,2347713,"Son La, VN, Vietnam",Son La,21.3011,104.159,VNM,VNM,2,Vietnam,Vietnam,VNM,1567643,Tinh Son La,-3728516,"Son La, Tinh",1,,VN.32,North West,VM32,1,eng,VM32,,8.0,11,8,Q33379,محافظة سون لا,সন লা,Sơn La,Sơn La,Sơn La,Sơn La,Σον Λα,सॉन ला,Son La,Son La,Son La,ソンラ省,선라성,Sơn La,Prowincja Sơn La,Son La,Шонла,Son La,Son la,Sơn La,山罗省,1159308331,סן לה,Шонла,سون لا صوبہ,استان سون لا,山羅省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,21.30805369762004,103.9581303246547,11 Sơn La,2.0
12,Admin-1 states provinces,7,VNM-456,456,VN-21,,VN,1,Thanh Hóa,Thanh Hoa,,Tỉnh,Province,,VN.TH,,,Bắc Trung Bộ,VNM-THO,55,2,20,5,,TH,0,-99,7,9,5,4,VM34,,2347715,"Thanh Hoa, VN, Vietnam",Thanh Hóa,20.0917,105.215,VNM,VNM,2,Vietnam,Vietnam,VNM,1566165,Tinh Thanh Hoa,-3729996,"Thanh Hoa, Tinh",1,,VN.34,,VM34,1,eng,VM34,,8.0,11,8,Q36512,محافظة تان هوا,থাহ্ন হোয়া,Thanh Hóa,Thanh Hóa,Thanh Hóa,Thanh Hóa,Θανχ Χόα,थांह होआ,Thanh Hóa,Thanh Hoa,Thanh Hoa,タインホア省,타인호아성,Thanh Hóa,Prowincja Thanh Hóa,Thanh Hoa,Тханьхоа,Thanh Hoa,Thanh Hóa,Thanh Hóa,清化省,1159308335,טהאינג הואה,Тханьхоа,تھان ہوا صوبہ,تان هوا,清化省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,20.04918169625316,105.33159664283178,12 Thanh Hóa,-0.18
13,Admin-1 states provinces,7,VNM-475,475,VN-22,,VN,1,Nghệ An,Nghe An,,Tỉnh,Province,,VN.NA,,,Bắc Trung Bộ,VNM-NAN,54,2,20,5,,,0,-99,7,7,5,4,VM58,,2347742,"Nghe An, VN, Vietnam",Nghệ An,19.3548,104.827,VNM,VNM,2,Vietnam,Vietnam,VNM,1559969,Tinh Nghe An,-3736202,"Nghe An, Tinh",1,,VN.58,,VM66,1,eng,VM58,,8.0,11,8,Q36587,محافظة ني أن,নেহেয়ান,Nghệ An,Nghệ An,Nghệ An,Nghệ An,Νγκχε Αν,नाघिए एन,Nghệ An,Nghệ An,Nghe An,ゲアン省,응에안성,Nghệ An,Prowincja Nghệ An,Nghe An,Нгеан,Nghe An,Nghe An,Nghệ An,乂安省,1159308371,נגה אן,Нгеан,نگہ آن صوبہ,استان نه آن,乂安省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,19.238706617668917,104.9315470219738,13 Nghệ An,0.19
14,Admin-1 states provinces,7,VNM-474,474,VN-23,,VN,1,Hà Tĩnh,Ha Tinh,,Tỉnh,Province,,VN.HT,,,Bắc Trung Bộ,VNM-HTN,56,2,20,5,,,0,7,7,7,5,4,VM52,,2347736,"Ha Tinh, VN, Vietnam",Ha Tinh,18.3563,105.799,VNM,VNM,2,Vietnam,Vietnam,VNM,1580700,Tinh Ha Tinh,-3715425,"Ha Tinh, Tinh",1,,VN.52,North Central Coast,VM60,1,vie,VM52,,8.0,11,8,Q33351,محافظة ها تنه,হা তিহ্ন,Hà Tĩnh,Hà Tĩnh,Hà Tĩnh,Hà Tĩnh,Χα Τινχ,हे तिन्ह,Ha Tinh,Ha Tinh,Ha Tinh,ハティン省,하띤성,Hà Tĩnh,Prowincja Hà Tĩnh,Ha Tinh,Хатинь,Ha Tinh,Hà Tĩnh,Hà Tĩnh,河静省,1159308367,הא טינג,Хатінь,صوبہ ہاتنہ,استان ها تین,河靜省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,18.28829210983268,105.72274111372197,14 Hà Tĩnh,-0.35
15,Admin-1 states provinces,7,VNM-476,476,VN-24,,VN,1,Quảng Bình,Quang Binh,,Tỉnh,Province,,VN.QB,,,Bắc Trung Bộ,VNM-QBN,33,2,20,5,,QB,0,-99,7,10,5,4,VM62,,2347746,"Quang Binh, VN, Vietnam",Quảng Bình,17.4691,106.357,VNM,VNM,2,Vietnam,Vietnam,VNM,1568839,Tinh Quang Binh,-3727314,"Quang Binh, Tinh",1,,VN.62,,VM70,1,eng,VM62,,8.0,11,8,Q23533,محافظة كوانغ بنه,কুয়াং বিন প্রদেশ,Quảng Bình,Quảng Bình,Quảng Bình,Quảng Bình,Κουάνγκ Μπινχ,कैंग बिन्ह,Quang Binh,Quang Binh,Quang Binh,クアンビン省,꽝빈성,Quảng Bình,Prowincja Quảng Bình,Quang Binh,Куангбинь,Quang Binh,Quảng Bình,Quảng Bình,广平省,1159308373,קוואנג בין,Куангбінь,صوبہ کوانگ بن,استان کوانگبن,廣平省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,17.510710828192146,106.30082563950006,15 Quảng Bình,0.64
16,Admin-1 states provinces,7,VNM-489,489,VN-25,,VN,1,Quảng Trị,Quang Tri,,Tỉnh,Province,,VN.QT,,,Bắc Trung Bộ,VNM-QTR,25,2,20,5,,QT,0,-99,7,9,5,4,VM64,,2347747,"Quang Tri, VN, Vietnam",Quảng Trị,16.7204,106.973,VNM,VNM,2,Vietnam,Vietnam,VNM,1568733,Tinh Quang Tri,-3727420,"Quang Tri, Tinh",1,,VN.64,,VM72,1,eng,VM64,,8.0,11,8,Q36579,محافظة كوانغ تشي,কুয়াং ত্রি,Quảng Trị,Quảng Trị,Quảng Trị,Quảng Trị,Κουάνγκ Τρι,क्वांग ट्राय,Quảng Trị,Quang Tri,Quang Tri,クアンチ省,꽝찌성,Quảng Trị,Prowincja Quảng Trị,Quang Tri,Куангчи,Quang Tri,Quảng Trị,Quảng Trị,广治省,1159308311,קואנג צ'י,Куангчі,قوانگ تری صوبہ,استان کوانگ تری,廣治省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,16.73548849579396,106.93275605442712,16 Quảng Trị,0.29
17,Admin-1 states provinces,7,VNM-490,490,VN-26,,VN,1,Thừa Thiên Huế,Thua Thien - Hue,,Tỉnh,Province,,VN.TT,,,Bắc Trung Bộ,VNM-TTH,17,2,20,5,,TT,0,-99,7,16,5,4,VM66,,2347749,"Thura Thien-Hue, VN, Vietnam",Thừa Thiên - Huế,16.312,107.634,VNM,VNM,2,Vietnam,Vietnam,VNM,1565033,Tinh Thua Thien-Hue,-3731128,"Thua Thien-Hue, Tinh",1,,VN.66,,VM74,1,eng,VM66,,8.0,11,8,Q36399,محافظة تهوا تهين هويه,থুুয়া থিয়েন-হু,Thừa Thiên-Huế,Thừa Thiên Huế,Thừa Thiên-Huế,Thừa Thiên-Huế,Θούα Θιέν-Χουέ,थुरा थिएन-हुअए,Thừa Thiên-Huế,Thua Thien-Hue,Thua Thien-Hue,トゥアティエン＝フエ省,트어티엔후에성,Thừa Thiên-Huế,Prowincja Thừa Thiên-Huế,Thua Thien-Hue,Тхыатхьен-Хюэ,Thua Thien-Hué,Thừa Thiên - Huế,Thừa Thiên Huế,承天顺化省,1159308313,טהיאה טהיין-הואה,Тхиатхьєн-Хюе,تھوا تھیئن-ہوائے صوبہ,استان توا تین–هوئه,承天順化省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,16.38204417568471,107.43062625568363,17 Thừa Thiên Huế,0.4
18,Admin-1 states provinces,7,VNM-487,487,VN-27,,VN,1,Quảng Nam,Quang Nam,,Tỉnh,Province,,VN.QM,,,,VNM-QND,18,2,20,5,,DA,0,-99,7,9,5,4,,,2347711,"Quang Nam, VN, Vietnam",Quàng Nam,15.6535,107.955,VNM,VNM,2,Vietnam,Vietnam,VNM,1905516,Tinh Quang Nam,410147,"Quang Nam,Tinh",1,,VN.84,,,1,fas,VM84,,8.0,11,8,Q33356,محافظة كوانغ نام,কুয়াং নাম,Quảng Nam,Quảng Nam,Quảng Nam,Quảng Nam,Κουάνγκ Ναμ,कैंग नाम,Quàng Nam,Quang Nam,Quang Nam,クアンナム省,꽝남성,Quảng Nam,Prowincja Quảng Nam,Quang Nam,Куангнам,Quang Nam,Quang Nam,Quảng Nam,广南省,1159308307,קוונג נאם,Куангнам,قوانگ نام صوبہ,استان کوانگ نام,廣南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,15.622363954566833,107.94301210739071,18 Quảng Nam,0.31
19,Admin-1 states provinces,7,VNM-512,512,VN-03,,VN,1,Hà Giang,Ha Giang,,Tỉnh,Province,,VN.HG,,,Đông Bắc,VNM-HGN,51,2,20,5,,HG,0,-99,7,8,5,4,VM50,,2347734,"Ha Giang, VN, Vietnam",Hà Giang,22.7655,104.965,VNM,VNM,2,Vietnam,Vietnam,VNM,1581030,Tinh Ha Giang,-3715093,"Ha Giang, Tinh",1,,VN.50,,VM58,1,vie,VM50,,8.0,11,8,Q36685,محافظة ها زانغ,হা জিয়াং,Hà Giang,Hà Giang,Hà Giang,Hà Giang,Χα Γκιάνγκ,हा जियांग,Hà Giang,Ha Giang,Ha Giang,ハザン省,하장성,Hà Giang,Prowincja Hà Giang,Ha Giang,Хазянг,Ha Giang,Ha Giang,Hà Giang,河江省,1159308401,הא זאנג,Хазянг,ہا گیانگ صوبہ,استان ها گیانگ,河江省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,admin_boundary,state,22.759475776709007,104.98463499839735,19 Hà Giang,1.9
